ID,name,age,minutes_played_per_game,rebounds_per_game,assists_per_game,points_per_game,team,nationality,region,rendimiento_por_minuto,nivel_jugador,conferencia,cluster_k,photo_url,player_id
28,James Bouknight,22,15.1,2.1,1.2,5.6,Charlotte Hornets,USA,America del Norte,0.589403974,Muy bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630547.png,1630547
29,Keegan Murray,22,29.8,4.6,1.2,12.2,Sacramento Kings,USA,America del Norte,0.604026846,Bajo,Western Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631099.png,1631099
30,Lauri Markkanen,25,34.4,8.6,1.9,25.6,Utah Jazz,Finland,Europa,1.049418605,Alto,Western Conference,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png,1628374
31,Quentin Grimes,22,29.9,3.2,2.1,11.3,New York Knicks,USA,America del Norte,0.555183946,Muy bajo,Eastern Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629656.png,1629656
32,Jaylin Williams,20,18.7,4.9,1.6,5.9,Oklahoma City Thunder,USA,America del Norte,0.663101604,Bajo,Western Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631119.png,1631119
33,Victor Oladipo,30,26.3,3,3.5,10.7,Miami Heat,USA,America del Norte,0.653992395,Bajo,Eastern Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203506.png,203506
34,Tim Hardaway Jr.,30,30.3,3.5,1.8,14.4,Dallas Mavericks,USA,America del Norte,0.650165017,Bajo,Western Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203501.png,203501
35,David Roddy,21,18,2.8,0.8,6.7,Memphis Grizzlies,USA,America del Norte,0.572222222,Muy bajo,Western Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631223.png,1631223
36,John Wall,32,22.2,2.7,5.2,11.4,Los Angeles Clippers,USA,America del Norte,0.869369369,Promedio,Western Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202322.png,202322
37,Grant Williams,24,25.9,4.6,1.7,8.1,Dallas Mavericks,USA,America del Norte,0.555984556,Muy bajo,Western Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png,1629684
38,De'Andre Hunter,25,31.7,4.2,1.4,15.4,Atlanta Hawks,USA,America del Norte,0.662460568,Bajo,Eastern Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png,1629631
39,Edmond Sumner,27,13.9,1.5,1.3,7.1,Brooklyn Nets,USA,America del Norte,0.712230216,Bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628410.png,1628410
40,Jaden Ivey,20,31.1,3.9,5.2,16.3,Detroit Pistons,USA,America del Norte,0.816720257,Promedio,Eastern Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631093.png,1631093
41,De'Anthony Melton,24,27.9,4.1,2.6,10.1,Philadelphia 76ers,USA,America del Norte,0.602150538,Bajo,Eastern Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png,1629001
42,Devin Vassell,22,31,3.9,3.6,18.5,San Antonio Spurs,USA,America del Norte,0.838709677,Promedio,Western Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630170.png,1630170
43,Theo Pinson,27,8.1,1.6,1.2,2.4,Dallas Mavericks,USA,America del Norte,0.641975309,Bajo,Western Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629033.png,1629033
44,Dwight Powell,31,19.2,4.1,0.9,6.7,Dallas Mavericks,Canada,America del Norte,0.609375,Bajo,Western Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png,203939
45,Andre Drummond,29,12.7,6.6,0.5,6,Chicago Bulls,USA,America del Norte,1.031496063,Alto,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png,203083
46,Oshae Brissett,24,16.7,3.4,0.7,6.1,Boston Celtics,Canada,America del Norte,0.610778443,Bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png,1629052
47,Yuta Watanabe,28,16,2.4,0.8,5.6,Phoenix Suns,Japan,Asia,0.55,Muy bajo,Western Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629139.png,1629139
48,Austin Reaves,24,28.8,3,3.4,13,Los Angeles Lakers,USA,America del Norte,0.673611111,Bajo,Western Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,1630559
49,Jalen Johnson,21,14.9,4,1.2,5.6,Atlanta Hawks,USA,America del Norte,0.724832215,Bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png,1630552
50,Keita Bates-Diop,27,21.7,3.7,1.5,9.7,Phoenix Suns,USA,America del Norte,0.686635945,Bajo,Western Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png,1628966
