"age","minutes_played_per_game","rebounds_per_game","assists_per_game","points_per_game","region_Africa","region_America del Norte","region_America del Norte / Oceania","region_Asia","region_Europa","region_Oceania","conferencia_Eastern Conference","conferencia_Western Conference","cluster_k"
-0.302912912710866,-1.28838919574198,-1.11568352252557,-0.871264633092799,-1.01076479807525,0,1,0,0,0,0,1,0,1
1.32815661727072,1.21082036779486,0.0978669756601378,1.69592490231209,1.71576837592351,0,1,0,0,0,0,1,0,3
-0.535922845565378,-0.417295405961504,0.411041297772579,-0.752778962227957,-0.543359111104038,0,1,0,0,0,0,1,0,6
-0.0699029798563538,1.03452757700596,-0.0195733951320275,0.985010877123046,1.28731316286656,0,1,0,0,0,0,0,1,2
-0.302912912710866,-1.60986428482763,-1.19397710305368,-0.515807620498275,-1.09840336438236,0,1,0,0,0,0,1,0,1
-0.302912912710866,-1.32986985239819,-0.88080278094124,-0.98975030395764,-0.942601468725285,0,0,0,0,1,0,1,0,1
0.39611688585267,0.775273472904624,2.838142294144,1.06400132436627,1.60865457265927,1,0,0,0,0,0,1,0,4
-0.76893277841989,0.443428219654919,-0.137013765924193,0.155611181069158,0.0311603791314144,0,1,0,0,0,0,1,0,6
1.32815661727072,-0.59358819675041,-0.293600926980413,-0.594798067741503,-0.747849099153945,0,1,0,0,0,0,0,1,5
-0.0699029798563538,1.16933971113865,0.919949571205295,0.195106404690772,1.17046174112375,1,0,0,0,0,0,1,0,4
-0.535922845565378,1.27304135277918,1.66373858622234,0.629553864528523,1.5112783878736,0,1,0,0,0,0,1,0,4
-0.535922845565378,-0.935803614164169,0.0587201853960828,-0.98975030395764,-1.08866574590379,0,1,0,0,0,0,1,0,1
2.02718641583426,-0.199521958516385,-0.685068829620964,0.116115957447544,-0.747849099153945,0,1,0,0,0,0,1,0,5
0.39611688585267,1.03452757700596,2.21179364991911,0.471572970042068,1.80340694223061,0,1,0,0,0,0,1,0,4
-1.46796257698343,-1.79652723978059,-0.95909636146935,-0.871264633092799,-0.932863850246718,0,1,0,0,0,0,1,0,1
1.79417648297974,1.13822921864649,0.841655990677185,0.787534759014978,1.41390220308793,0,0,0,0,0,1,1,0,3
0.862136751561695,1.32489217359945,0.215307346452303,0.985010877123046,1.21914983351659,0,1,0,0,0,0,0,1,3
2.72621621439779,1.12785905448244,1.46800463490207,1.49844878420402,1.39442696613079,0,1,0,0,0,0,0,1,3
-0.76893277841989,1.20045020363081,1.58544500569423,1.97239146766339,1.73524361288064,0,0,1,0,0,0,0,1,2
1.09514668441621,-1.04987541996875,-0.567628458828799,-0.831769409471185,-0.816012428503914,0,1,0,0,0,0,0,1,5
0.163106952998158,0.941196099529477,2.838142294144,2.68330549285244,0.965971753073846,0,1,0,0,0,0,0,1,2
-0.535922845565378,1.12785905448244,0.0978669756601378,0.985010877123046,1.63786742809497,0,1,0,0,0,0,0,1,2
1.79417648297974,1.04489774117001,0.606775249092854,1.30097266609596,1.44311505852363,0,1,0,0,0,0,0,1,3
-0.302912912710866,-2.26318462716299,-1.42885784463801,-1.14773119844409,-1.263942878518,0,1,0,0,0,0,0,1,1
-0.535922845565378,1.05526790533406,-0.606775249092854,2.84128638733889,1.13151126720948,0,1,0,0,0,0,1,0,2
-1.23495264412891,0.381207234670599,-0.215307346452303,-0.713283738606344,-0.426507689361235,0,1,0,0,0,0,1,0,6
0.862136751561695,-0.438035734289611,-0.606775249092854,-0.67378851498473,-0.621260058932575,0,1,0,0,0,0,0,1,5
-1.0019427112744,-0.987654434984435,-0.95909636146935,-0.713283738606344,-0.874438139375316,0,1,0,0,0,0,1,0,1
-1.0019427112744,0.536759697131398,0.0195733951320275,-0.713283738606344,-0.231755319789895,0,1,0,0,0,0,0,1,6
-0.302912912710866,1.01378724867785,1.58544500569423,-0.436817173255048,1.07308555633808,0,0,0,0,1,0,0,1,4
-1.0019427112744,0.547129861295451,-0.528481668564744,-0.35782672601182,-0.319393886096997,0,1,0,0,0,0,1,0,6
-1.46796257698343,-0.614328525078517,0.137013765924193,-0.555302844119889,-0.845225283939615,0,1,0,0,0,0,0,1,6
0.862136751561695,0.173803951389533,-0.606775249092854,0.195106404690772,-0.3778195969684,0,1,0,0,0,0,1,0,5
0.862136751561695,0.588610517951665,-0.411041297772579,-0.476312396876661,-0.0175277132614206,0,1,0,0,0,0,0,1,5
-1.23495264412891,-0.68691967422689,-0.685068829620964,-0.871264633092799,-0.767324336111079,0,1,0,0,0,0,0,1,1
1.32815661727072,-0.251372779336652,-0.724215619885019,0.866525206258205,-0.30965626761843,0,1,0,0,0,0,0,1,5
-0.535922845565378,0.13232329473332,0.0195733951320275,-0.515807620498275,-0.630997677411141,0,1,0,0,0,0,0,1,6
-0.302912912710866,0.733792816248411,-0.137013765924193,-0.634293291363116,0.0798484715242494,0,1,0,0,0,0,1,0,6
0.163106952998158,-1.11209640495307,-1.19397710305368,-0.67378851498473,-0.728373862196811,0,1,0,0,0,0,1,0,1
-1.46796257698343,0.671571831264091,-0.254454136716358,0.866525206258205,0.167487037831352,0,1,0,0,0,0,1,0,6
-0.535922845565378,0.339726578014386,-0.176160556188248,-0.160350607903752,-0.436245307839802,0,1,0,0,0,0,1,0,6
-1.0019427112744,0.661201667100038,-0.254454136716358,0.234601628312386,0.381714644359826,0,1,0,0,0,0,0,1,6
0.163106952998158,-1.71356592646817,-1.15483031278963,-0.713283738606344,-1.18604193068946,0,1,0,0,0,0,0,1,1
1.09514668441621,-0.56247770425825,-0.176160556188248,-0.831769409471185,-0.767324336111079,0,1,0,0,0,0,0,1,5
